,category,value,ques,ans
0,seller,$200,harri bogen is the dressmak hero of the music i can get it for you thi way,wholesal
1,21st centuri histori,$1000,in two thousand and four seven countri that were onc soviet alli were admit a new member of thi militari allianc,nato
2,state superl,$200,a valley at two hundred and eighty-two foot below sea level in thi state is the lowest point in the western hemispher,california
3,food fact,$200,potag is a fanci name for thi type of dish especi a thick one,soup
4,world hodgepodg,$200,from the old french for ice these cover about one eight of iceland some are three four of a mile thick,glacier
5,poet poetri,$200,he also wrote a poem about the charg of the heavi brigad,tennyson
6,news of the '80,$200,"an estim half of the one four million illeg alien who appli for amnesti in one thousand, nine hundred and eighty-eight live in thi state",california
7,i'll see you in court,$1000,in two thousand and eight an inmat in pueblo counti in thi state su the prison say it did n't do enough to stop him from break out,colorado
8,scientif american,$200,sa 's websit 's ask the expert column answer key question like whi doe bruis fruit turn thi color,brown
9,movabl feast,$1000,not monday but thi day of the week can be maundi,thursday
10,q without u,$1000,"thi emir ha been run by the al thani famili sinc the mid one thousand, eight hundred",qatar
11,potpourri,$1000,a g i joe introduc in two thousand is suppos to be one of these nativ american who were code talker in wwii,navajo
12,nothin' but a s,$1000,"you could say we sent thi greek god to the moon in one thousand, nine hundred and sixty-nine",apollo
13,genesi quot fill in,$400,and the lord set a mark upon lest ani find him should kill him,cain
14,anoth name for,$400,from old italian for to shield sun it 's anoth name for a sun umbrella,parasol
15,unusu place name,$200,while there 's no mama in thi state there is a papa a papaaloa,hawaii
16,world capit,$400,thi capit ha two district karkh on the west bank of the tigri rusafah on the east,baghdad
17,let' go camp,$1000,small can of thi trademark flammabl hydrocarbon jelli are use a a heat sourc for camp cook,sterno
18,you auto know the car maker,$1000,the golf tri not to hit eighteen pothol in one,volkswagen
19,sign in the reign,$200,a href http www j archiv com medium two thousand and eight twelve twenty-two j twenty-six jpg target blank lili'uokalani a former queen of thi also laid her a href http www j archiv com medium two thousand and eight twelve twenty-two j 26a jpg target blank hand a to a famou song,hawaii
20,get mall ed,$200,in two thousand and five thi chain with close to nine zero locat began offer chantico a drinkabl dessert,starbuck
21,joe the farmer,$1000,joe like to ask other farmer got thi cereal grain ? when they say ye he say you better see a periodontist,sorghum
22,where' my coffe ?,$200,the flavor coffe bean from thi countri are grown at high altitud near nairobi,kenya
23,doubl l,$200,from the latin for bind to thi four letter word 's synonym are accomplic friend antonym enemi foe,alli
24,eleven letter word,$400,one who studi research famili histori pedigre,genealogist
25,beverag,$200,the name of thi coffe drink come from the italian for press,espresso
26,social type,$1000,after literati men of letter becom famou wealthi they get a coupl letter more becom part of thi group,glitterati
27,state capit,$200,the state capit out in the middl of the pacif ocean,honolulu
28,le is more,$200,type of whisper in the titl of a wham hit,careless
29,how do you like my dud ?,$1000,"these leather short with a bib top origin in a tyrolean style were popular for u s child in the late one thousand, nine hundred and sixty",lederhosen
30,hello wall,$1000,a biograph said he wa the first to build a wall eighty mile long to separ the roman from the barbarian,hadrian
31,friski presid,$200,some scholar believ he initi call off hi marriag a he 'd fallen in love with a friend of the todd,lincoln
32,can't smile without you,$400,it 's the hard outer layer of a tooth,enamel
33,hair,$400,in the death chapter in uncl tom 's cabin eva ha her long golden brown these shear hand them out,curl
34,book of the bibl,$400,and when he open the seventh seal there wa silenc in heaven about the space of half an hour,revel
35,mountain,$400,sarah of the clue crew fli over volcano nation park in hawaii kilauea volcano is n't classifi a extinct dormant or intermitt but is thi type so we 'll stay alert,activ
36,the jimmi carter experi,$1000,base in thi citi the carter center is all along the watchtow against diseas famin,atlanta
37,slang,$1000,thi slang term can refer to a peanut a yokel or a nativ of georgia,goober
38,mytholog,$200,poseidon 's son polyphemu wa one of these one eye creatur,cyclop
39,art craft,$200,go dotti make a pair of these out of clay the opposit side should add up to seven,dice
40,'allo governor,$1000,karl f rulvagg floyd bjornstern olson jacob aall ottesen preu,minnesota
41,realli bad date,$400,"on feb three one thousand, nine hundred and ninety-eight a low fli jet clip a ski lift cabl kill twenty in the dolomit mountain in thi countri",itali
42,d vide,$1000,thi scottish peak that birnam wood seem to visit in macbeth is onli one twelve foot high,dunsinan
43,insect,$400,some insect have three of these sen organ call ocellus arrang in a triangl on the head,eye
44,good sen,$200,both parti are present at an adversari type of thi proceed that 's le formal than a trial,hear
45,scienc natur,$1000,"in one thousand, nine hundred and fifty-five physicist owen chamberlain emilio segr discov the antiproton which ha thi kind of charg",neg
46,on the head,$1000,a href http www j archiv com medium two thousand and seven five eighteen j ten jpg target blank kelli of the clue crew report a from the latin for track it 's the somewhat spacey term use by doctor for these caviti in your skull,orbit
47,member nation of opec,$1000,in march two thousand and eleven world oil price rose due to fight in thi opec member 's oil citi like ra lanuf,libya
48,beverag,$1000,a new york compani make a line of flavor tea that share it name with thi western state,arizona
49,food for thought,$200,it can be a best man 's tribut to a newli marri coupl or a breakfast slice,toast
50,fun with element,$200,the name of thi element begin with a synonym for automobil,carbon
51,five g s,$400,"in one thousand, nine hundred and ninety-two the cathol church admit it er in condemn thi man three hundred and fifty-nine year befor",galileo
52,dude eronomi,$1000,parti on dude thi guy get appoint to be the new leader of the israelit,joshua
53,from the latin,$200,aesop wa known for these from the latin for stori or tale,fabl
54,tech support,$1000,a href http www j archiv com medium two thousand and seven one three j eight jpg target blank jimmi of the clue crew insert a cabl into a port on the front of a comput case a to hook up a new digit camera you 'll want to use a href http www j archiv com medium two thousand and seven one three j 08a jpg target blank thi a three letter type of port,usb
55,ism,$400,late 19th centuri movement that character the work seen here,impression
56,the weather channel,$1000,when the folk at the nation weather servic are feel a bit dz dz stand for thi weather condit,drizzl
57,wouldn't it be rubberi,$200,thi sesam street charact bounc onto the pop music chart with the song rubber ducki,erni
58,salmon,$1000,weigh up to one hundred pound thi larg type of salmon share it name with a warm dri wind,chinook
59,make up test,$200,ell magazin tout harem zucchini cash a trendi eye shadow shade of thi color,green
60,the coin box,$1000,peopl are just mad for the looni the nicknam for thi countri s one dollar coin,canada
61,feel ill,$400,a woman 's brimless hat or a place for your aspirin,pillbox
62,organ religion,$1000,american intern gita societi sanskrit religion institut,hinduism
63,in the french pantri,$200,margarita befor we eat ? we 'll need plenti of these citron vert in french,lime
64,potpourri,$400,alessandro alessandroni wa the perform who ad thi to the music in a fist of dollar,whistl
65,white wine,$400,a specif dri white wine origin in wa name for thi french town in the yonn depart,chabli
66,molecular gastronomi,$1000,a href http www j archiv com medium two thousand and eleven four one j twenty-five jpg target blank jimmi give the clue from the moto restaur in chicago il a miracl berri expand the use of food like lemon by block the sour type of these special cell which scientist now say are found all over and not in separ part of the tongu,receptor
67,where,$400,in portug the area south of thi river that bisect the countri is much warmer than the area north of it,tagu
68,old king coal,$1000,"in the one thousand, three hundred the southwest indian tribe name for these dwell use coal in potteri make",pueblo
69,conquer,$200,thi man 's 11th centuri conquest of england gave him the nicknam the conqueror,william
70,animalia,$400,in ray stevens' ahab the arab clyde wa one of these,camel
71,hodgepodg,$400,of the seven deadli sin the one that 's also the name of an anim,sloth
72,cabl channel,$1000,channel that 's been home to gritti show like dirt rescu me,fx
73,ballet,$400,in part two of the ballet jewel the dancer dress like these red gem,rubi
74,the short form,$400,fan a in a rabid sport fan come from thi word,fanat
75,superstit,$1000,cast in a play with al pacino paul giamatti enrag the superstiti star by whistl by name thi shakespear play,macbeth
76,meat,$200,a long stand tradit in franc hippophagi is the consumpt of thi,hors
77,environment,$1000,"repres from one hundred and fifty countri met in thi japanes citi in one thousand, nine hundred and ninety-seven to agre to an accord to reduc greenhous gase",kyoto
78,licens plate slogan,$1000,idaho ha been the vacat thi oregon the pacif thi michigan the water winter thi,wonderland
79,king queen or jack,$1000,the one flown on the bow of a british ship,jack
80,histor occas,$200,"the one thousand, eight hundred and fifty-one lopez expedit a disaster attempt to free thi island wa an earli version of the bay of pig",cuba
81,no three song,$200,her true blue peak at no three just a few week after papa do n't preach top the chart,madonna
82,battl cri,$200,american paratroop were the first to use thi man 's name a a battl cri,geronimo
83,state motto,$400,missouri salu populi suprema lex esto the welfar of the peopl shall be the suprem thi,law
84,wed to the idea,$400,marri in thi color and you will alway be true henc the requir for someth of it,blue
85,good buy,$1000,one of the organ of the republican parti william seward negoti thi purchas a u s secretari of state,alaska
86,cambodia cameroon or canada,$200,it 's made up of three territori and ten provinc,canada
87,european parliament member,$400,stavro lambrinidi of thi countri is a socialist member of the ep,greec
88,spott tha mispel wurd,$1000,the accomod at the monasteri were rudimentari at best,accommod
89,what a mythtak,$1000,think it wa a love potion deianira dip a shirt meant for him in poison blood oop it kill him,hercul
90,the anim kingdom,$400,the pilot whale is one of the larger member of thi famili of mammal,dolphin
91,stupid answer,$1000,masi oka play a charact with thi first name on the tv show hero,hiro
92,time for lunch,$1000,thi name for the food of the god now mean a dessert of chill fruit mix with coconut,ambrosia
93,obscur januari holiday observ,$400,call your friend januari twenty is nation awar day for these antarct bird,penguin
94,golf,$200,the right to hit first goe to the person who 's thi four letter word mean hi ball is farthest from the hole,away
95,southern cook,$200,it 's thought the name of thi creol dish come from jambon french for ham,jambalaya
96,tion me,$200,"one orbit around the sun or what happen in cuba in late one thousand, nine hundred and fifty-nine",revolut
97,side effect may includ,$1000,hip implos spleen shiver thi heliocentr condit aka heat hyperpyrexia when bodi temp hit one hundred and five degre,sunstrok
98,shall we reproduc ?,$1000,in thi type of reproduct common to strawberri coral offspr grow from a part of the parent,bud
99,drink are on me,$200,ad for thi ice tea brand encourag peopl to take a backward plung into a pool,nestea
100,four,$400,in four color process print the four color use are cyan magenta yellow thi basic one,black
101,middl c,$1000,for a nice chianti visit thi wine make region of itali that 's famou for it,tuscani
102,nonpot potabl,$400,thi liquid produc when curd separ from milk wa onc consid a refresh drink,whey
103,intern road vehicl sticker,$200,the portugues were the first european to enter a href http www j archiv com medium two thousand and five ten five j thirty jpg target blank thi a countri,vietnam
104,on the fli,$400,from the spanish for littl fli thi fli varieti ha hypoderm mouth part to pierc skin,mosquito
105,workplac,$1000,three letter word pair with 'tool in a type of manufactur of precis product,die
106,state the governor,$400,money doe n't make you happi i now have fifty mil but i wa just a happi when i had forty-eight mil said the gov of thi state,california
107,around the courtroom,$1000,a href http www j archiv com medium two thousand and ten one seven j five jpg target blank jimmi of the clue crew report from a courtroom a the court report who sit here must record up to two hundred and fifty word per minut for cvr certif the v stand for thi exact adject,verbatim
108,jewelri,$400,josiah wedgwood design these jewelri piec use a white past relief on a color backgorund,cameo
109,board of director,$1000,the chief of medicin at mass gener is on thi compani 's board so he can keep an eye on the lipitor xanax,pfizer
110,you'r the mayor,$200,now in hi fifth term richard m daley ha the daili duti of run thi metropoli,chicago
111,mo better,$1000,instead of take over hi dad 's upholsteri busi he went on to becom franc 's greatest comic dramatist,molier
112,u s a,$1000,alphabet thi southern state 's counti run from adam to yazoo,mississippi
